depth(m),cone penetration resistance (qc (MPa)),sleeve friction(kPa),total cone resistance (tc(Mpa)),friction ratio (%),bulk density (kN/m³),effective vertical stress(kPa),pore water pressure (kPa),total vertical stress (kPa),normalised cone resistance(-),normalised cone resistance corrected for overburden (-),normalised friction ratio (%),void ratio,Soil Class
0.01,1.12,0,1.12,0,19,0.19,0,0.19,5896.82,22.11,0,1,Class 1: Gravelly sand to dense sand
0.01,0,0,0,0,19,0.19,0.1,0.09,37.11,0.07,0,1,Class 1: Gravelly sand to dense sand
0.01,0.02,0,0.02,0,19,0.19,0.1,0.09,223.18,223.18,0,1,Class 1: Gravelly sand to dense sand
0.02,0.7,0,1.67,0,19,0.38,0.2,0.18,9065.76,1001,0,1,Class 1: Gravelly sand to dense sand
0.02,3.1,0,3.1,0,19,0.38,0,0.38,8160.5,61.21,0,1,Class 1: Gravelly sand to dense sand
0.02,0,0,0,0,19,0.38,0.2,0.18,17.52,0.06,0,1,Class 1: Gravelly sand to dense sand
0.02,0.02,0,0.02,0,19,0.38,0.2,0.18,89.52,89.52,0,1,Class 1: Gravelly sand to dense sand
0.02,2,1,2.48,0.04,19,0.38,0.2,0.18,13509,15.53,0.04,-0.07,Class 3: Silty sand to sandy silt
0.03,2.5,0,2.5,0,19,0.57,0,0.57,4392.83,49.42,0,1,Class 1: Gravelly sand to dense sand
0.03,0.01,0,0.01,0,19,0.57,0.29,0.28,42.55,42.55,0,1,Class 1: Gravelly sand to dense sand
0.03,0.01,0.2,0.01,3.17,19,0.57,0.29,0.28,20.78,0.11,3.49,1,Class 6: Organic soil / peat
0.04,2.85,1,2.99,0.03,19,0.76,0.39,0.37,8140.84,185.53,0.03,0.33,Class 1: Gravelly sand to dense sand
0.04,3.3,1,3.26,0.03,19,0.76,0.39,0.37,8866.27,195.75,0.03,0.32,Class 1: Gravelly sand to dense sand
0.04,3.45,0,3.18,0,19,0.76,0.39,0.37,8639.57,1001,0,1,Class 1: Gravelly sand to dense sand
0.04,3.84,0,3.84,0,19,0.76,0,0.76,5048.98,75.74,0,1,Class 1: Gravelly sand to dense sand
0.04,0.01,0,0.02,0,19,0.76,0.39,0.37,39.37,39.37,0,1,Class 1: Gravelly sand to dense sand
0.04,0.01,0.3,0.01,3.33,19,0.76,0.39,0.37,22.42,0.16,3.64,1,Class 6: Organic soil / peat
0.05,5.82,0,5.82,0,19,0.95,0,0.95,6128.19,114.91,0,1,Class 1: Gravelly sand to dense sand
0.05,0.02,0,0.02,0,19,0.95,0.49,0.46,50.74,50.74,0,1,Class 1: Gravelly sand to dense sand
0.05,0.01,0.5,0.01,3.5,19,0.95,0.49,0.46,29.05,0.26,3.75,1,Class 6: Organic soil / peat
0.06,4.8,1,4.76,0.06,19,1.14,0.59,0.55,8627.48,205.79,0.06,0.28,Class 1: Gravelly sand to dense sand
0.06,4.3,1,4.79,0.02,19,1.14,0.59,0.55,8687.93,237.87,0.02,0.31,Class 1: Gravelly sand to dense sand
0.06,5.2,0,5.59,0,19,1.14,0.59,0.55,10138.79,1001,0,1,Class 1: Gravelly sand to dense sand
0.06,7.97,0,7.97,0,19,1.14,0,1.14,6993.76,157.37,0,1,Class 1: Gravelly sand to dense sand
0.06,0.06,1,0.06,1.55,19,1.14,0.59,0.55,114.91,1.25,1.58,1,Class 6: Organic soil / peat
0.07,8.29,-10.3,8.29,-0.12,19,1.33,0,1.33,6230.48,163.56,-0.12,1,Class 1: Gravelly sand to dense sand
0.07,0.07,1.4,0.07,1.95,19,1.33,0.69,0.64,109.39,1.39,1.99,1,Class 6: Organic soil / peat
0.08,6.4,6,6.12,0.07,19,1.52,0.78,0.74,8326.73,226.79,0.07,0.27,Class 1: Gravelly sand to dense sand
0.08,6.55,1,5.96,0.05,19,1.52,0.78,0.74,8100.04,223.41,0.05,0.27,Class 1: Gravelly sand to dense sand
0.08,7.9,0,8.34,0,19,1.52,0.78,0.74,11341.78,1001,0,1,Class 1: Gravelly sand to dense sand
0.08,7.93,-11.7,7.93,-0.15,19,1.52,0,1.52,5215.62,156.48,-0.15,1,Class 1: Gravelly sand to dense sand
0.09,0.08,1.9,0.08,2.41,19,1.71,0.88,0.83,93.33,1.52,2.46,1,Class 6: Organic soil / peat
0.1,6.9,6,6.91,0.1,19,1.9,0.98,0.92,7511.53,239.52,0.1,0.27,Class 1: Gravelly sand to dense sand
0.1,6.75,7,6.91,0.07,19,1.9,0.98,0.92,7511.53,243.02,0.07,0.27,Class 1: Gravelly sand to dense sand
0.1,11.65,0,12.41,0,19,1.9,0.98,0.92,13496.3,1001,0,1,Class 1: Gravelly sand to dense sand
0.1,9.12,10.1,9.12,0.11,19,1.9,0,1.9,4797.59,179.92,0.11,0.32,Class 1: Gravelly sand to dense sand
0.1,0.08,2.5,0.08,3.03,19,1.9,0.98,0.92,87.7,1.59,3.1,1,Class 6: Organic soil / peat
0.11,10.26,13.2,10.26,0.13,19,2.09,0,2.09,4908.39,202.49,0.13,0.31,Class 1: Gravelly sand to dense sand
0.11,0.09,3,0.09,3.49,19,2.09,1.08,1.01,83.01,1.66,3.58,1,Class 6: Organic soil / peat
0.12,7.1,8,7.45,0.11,19,2.28,1.18,1.1,6756.49,254.22,0.11,0.27,Class 1: Gravelly sand to dense sand
0.12,7.1,6,7.32,0.08,19,2.28,1.18,1.1,6635.58,244.96,0.08,0.27,Class 1: Gravelly sand to dense sand
0.12,17.35,0,17.87,0.01,19,2.28,1.18,1.1,16202.14,496.45,0.01,0.23,Class 1: Gravelly sand to dense sand
0.12,11.4,16.3,11.4,0.14,19,2.28,0,2.28,5000.77,225.05,0.14,0.3,Class 1: Gravelly sand to dense sand
0.12,0.09,4.2,0.09,4.51,19,2.28,1.18,1.1,82.44,1.79,4.62,1,Class 6: Organic soil / peat
0.13,15.94,41,15.94,0.26,19,2.47,0,2.47,6452.45,314.58,0.26,0.29,Class 1: Gravelly sand to dense sand
0.13,0.73,-2.5,0.69,-0.08,19,2.47,1.28,1.19,577.8,577.8,-0.08,1,Class 1: Gravelly sand to dense sand
0.13,0.12,7.4,0.12,6.07,19,2.47,1.28,1.19,99.97,2.36,6.2,1,Class 6: Organic soil / peat
0.14,8,10,7.75,0.14,19,2.66,1.37,1.29,6022.86,261.78,0.14,0.28,Class 1: Gravelly sand to dense sand
0.14,7.75,4,7.69,0.07,19,2.66,1.37,1.29,5971.04,238.39,0.07,0.26,Class 1: Gravelly sand to dense sand
0.14,24.25,8,22.94,0.05,19,2.66,1.37,1.29,17823.99,465.29,0.05,0.17,Class 1: Gravelly sand to dense sand
0.14,0.75,-0.5,0.81,-0.06,19,2.66,1.37,1.29,624.93,624.93,-0.06,1,Class 1: Gravelly sand to dense sand
0.14,0.12,40.8,0.12,35.02,19,2.66,1.37,1.29,88.48,2.25,35.84,1,Class 6: Organic soil / peat
0.15,0.14,45.4,0.14,33.56,19,2.85,1.47,1.38,96.08,2.61,34.28,1,Class 6: Organic soil / peat
0.16,7.75,15,8.87,0.15,19,3.04,1.57,1.47,6028.04,273.15,0.15,0.27,Class 1: Gravelly sand to dense sand
0.16,7.8,6,8.27,0.06,19,3.04,1.57,1.47,5619.99,249.81,0.06,0.26,Class 1: Gravelly sand to dense sand
0.16,26.8,26,25.05,0.18,19,3.04,1.57,1.47,17034.11,544.3,0.18,0.19,Class 1: Gravelly sand to dense sand
0.16,0.15,50.1,0.15,32.49,19,3.04,1.57,1.47,102.8,2.98,33.14,1,Class 6: Organic soil / peat
0.17,0.15,50.3,0.15,34.64,19,3.23,1.67,1.56,90.87,2.8,35.43,1,Class 6: Organic soil / peat
0.18,10.4,16,9.88,0.13,19,3.42,1.77,1.65,5971.62,280.09,0.13,0.26,Class 1: Gravelly sand to dense sand
0.18,8.8,4,8.83,0.06,19,3.42,1.77,1.65,5336.87,248.75,0.06,0.25,Class 1: Gravelly sand to dense sand
0.18,23.65,99,23.35,0.38,19,3.42,1.77,1.65,14112.51,634.78,0.38,0.25,Class 1: Gravelly sand to dense sand
0.18,0.16,50.5,0.16,31.17,19,3.42,1.77,1.65,95.87,3.13,31.85,1,Class 6: Organic soil / peat
0.19,0.18,52.3,0.18,29.25,19,3.61,1.86,1.75,100.33,3.46,29.85,1,Class 6: Organic soil / peat
0.2,11,8,11.26,0.09,19,3.8,1.96,1.84,6125.97,287.22,0.09,0.24,Class 1: Gravelly sand to dense sand
0.2,9.4,6,9.35,0.06,19,3.8,1.96,1.84,5083.17,260.04,0.06,0.26,Class 1: Gravelly sand to dense sand
0.2,19.1,143,19.76,0.65,19,3.8,1.96,1.84,10750.56,681.2,0.65,0.31,Class 1: Gravelly sand to dense sand
0.2,0.22,52.1,0.22,24.22,19,3.8,1.96,1.84,114.96,4.17,24.66,1,Class 6: Organic soil / peat
0.22,11.85,7,12.01,0.16,19,4.18,2.16,2.02,5939.01,313.49,0.16,0.25,Class 1: Gravelly sand to dense sand
0.22,9.3,7,9.53,0.1,19,4.18,2.16,2.02,4710.73,257.41,0.1,0.26,Class 1: Gravelly sand to dense sand
0.24,12.6,41,13.29,0.23,19,4.56,2.35,2.21,6025.02,363.82,0.23,0.27,Class 1: Gravelly sand to dense sand
0.24,9.3,15,9.53,0.13,19,4.56,2.35,2.21,4317.24,267.9,0.13,0.27,Class 1: Gravelly sand to dense sand
0.24,1.26,31.8,1.26,2.53,19,4.56,2.35,2.21,568.53,24.75,2.54,0.86,Class 4: Clayey silt to silty clay
0.26,14.8,45,14.39,0.3,19,4.94,2.55,2.39,6021.06,395.9,0.3,0.27,Class 1: Gravelly sand to dense sand
0.26,9.35,16,9.51,0.19,19,4.94,2.55,2.39,3977.31,272.74,0.19,0.28,Class 1: Gravelly sand to dense sand
0.26,0.71,20,0.71,2.83,19,4.94,2.55,2.39,293.53,13.84,2.85,0.94,Class 4: Clayey silt to silty clay
0.28,15.1,43,14.97,0.28,19,5.32,2.75,2.57,5816.89,393.97,0.28,0.27,Class 1: Gravelly sand to dense sand
0.28,9.2,23,9.59,0.24,19,5.32,2.75,2.57,3724.81,287.71,0.24,0.3,Class 1: Gravelly sand to dense sand
0.3,14.3,37,14.49,0.27,19,5.7,2.94,2.76,5253.04,379.02,0.27,0.27,Class 1: Gravelly sand to dense sand
0.3,9.5,30,9.51,0.29,19,5.7,2.94,2.76,3445.52,287.54,0.29,0.31,Class 1: Gravelly sand to dense sand
0.3,15.58,59.2,15.58,0.38,19,5.7,0,5.7,2732.86,307.47,0.38,0.34,Class 1: Gravelly sand to dense sand
0.31,0.66,21.7,0.66,3.31,19,5.89,3.04,2.85,228.23,12.83,3.34,0.97,Class 4: Clayey silt to silty clay
0.32,13.3,39,13.34,0.4,19,6.08,3.14,2.94,4532.98,395.69,0.4,0.31,Class 1: Gravelly sand to dense sand
0.32,9.05,29,9.14,0.34,19,6.08,3.14,2.94,3104.8,287.85,0.34,0.33,Class 1: Gravelly sand to dense sand
0.32,0.89,22,0.89,2.48,19,6.08,3.14,2.94,299.08,17.36,2.5,0.9,Class 4: Clayey silt to silty clay
0.33,1.08,22.1,1.08,2.05,19,6.27,3.24,3.03,352.6,21.11,2.07,0.86,Class 4: Clayey silt to silty clay
0.34,11.6,84,12.65,0.53,19,6.46,3.34,3.12,4046.98,407.61,0.53,0.34,Class 1: Gravelly sand to dense sand
0.34,14.73,55.4,14.73,0.38,19,6.46,0,6.46,2279.81,290.7,0.38,0.34,Class 1: Gravelly sand to dense sand
0.35,14.86,51.3,14.86,0.35,19,6.65,0,6.65,2233.89,293.22,0.35,0.33,Class 1: Gravelly sand to dense sand
0.35,1.05,21.8,1.05,2.08,19,6.65,3.43,3.22,324.53,20.6,2.09,0.86,Class 4: Clayey silt to silty clay
0.36,15.1,62,15.68,0.45,19,6.84,3.53,3.31,4738.39,440.84,0.45,0.31,Class 1: Gravelly sand to dense sand
0.36,12.2,79,12.32,0.62,19,6.84,3.53,3.31,3720.78,409.21,0.62,0.35,Class 2: Sand to silty sand
0.36,0.89,17.3,0.89,1.95,19,6.84,3.53,3.31,266.16,17.38,1.96,0.88,Class 4: Clayey silt to silty clay
0.37,0.72,15.2,0.72,2.1,19,7.03,3.63,3.4,210.94,14.16,2.12,0.91,Class 4: Clayey silt to silty clay
0.38,12.25,67,12.42,0.53,19,7.22,3.73,3.49,3553,390.54,0.53,0.34,Class 1: Gravelly sand to dense sand
0.38,18.15,38,16.57,0.32,19,7.22,3.73,3.49,4741.36,419.62,0.32,0.28,Class 1: Gravelly sand to dense sand
0.38,0.69,14.4,0.69,2.09,19,7.22,3.73,3.49,195.57,13.48,2.11,0.92,Class 4: Clayey silt to silty clay
0.39,0.66,14.9,0.66,2.27,19,7.41,3.83,3.58,180.99,12.8,2.3,0.93,Class 4: Clayey silt to silty clay
0.4,11.85,51,12.33,0.41,19,7.6,3.92,3.68,3352.12,358.63,0.41,0.33,Class 1: Gravelly sand to dense sand
0.4,15.5,60,15.48,0.45,19,7.6,3.92,3.68,4209.03,425.48,0.45,0.31,Class 1: Gravelly sand to dense sand
0.4,0.66,15.4,0.66,2.33,19,7.6,3.92,3.68,177.39,12.87,2.36,0.94,Class 4: Clayey silt to silty clay
